addressRegion,companyId,companyName,companyRepresentativeImage,endedAt,id,isBookmarked,isPartner,jobLevel,jobLevels,jobSkillKeywords,joinReward,partnerLogo,startedAt,status_code,status_name,title,url
GANGNAM,944,한국딥러닝,https://cdn.rallit.com/image/2024-04-05/HEnEbPXZFXi-AlcVeo2sa.jpg,9999-12-31,3498,False,False,IRRELEVANT,MIDDLE,"React, TypeScript, HTML/CSS, JavaScript, TDD, DDD, Next.js, GitHub, CI/CD",50,,1970-01-01,HIRING,모집 중,프론트엔드 엔지니어,https://www.rallit.com/positions/3498
SEOUL,1281,(주)원더라운드,https://cdn.rallit.com/image/2025-02-19/PNbFJmi22WFhtVgq0xnXI.jpg,9999-12-31,3266,False,False,IRRELEVANT,JUNIOR,"AWS, HTML/CSS, Git, JavaScript, Node.js, TypeScript, React",0,,1970-01-01,HIRING,모집 중,여행 플랫폼 WOKA Frontend 개발자,https://www.rallit.com/positions/3266
GANGNAM,618,(주)스플랩,https://cdn.rallit.com/image/2024-06-19/xoKlLnLWxj5Fq5_bzlk8o.png,9999-12-31,2912,False,False,IRRELEVANT,IRRELEVANT,"TypeScript, React, Next.js, React Native",0,,1970-01-01,HIRING,모집 중,[인재풀] Frontend Developer,https://www.rallit.com/positions/2912
GANGNAM,123,플루토스디에스 주식회사,https://cdn.rallit.com/image/2022-03-21/wwarFjtFo-YG0ep4FEDpT.png,9999-12-31,308,False,False,MIDDLE,MIDDLE,"React, Angular, Vue.js, HTML/CSS, JavaScript, Redux, MobX, Git, Next.js, TypeScript",0,,1970-01-01,HIRING,모집 중,프론트엔드 개발자,https://www.rallit.com/positions/308
GANGNAM,1364,컬리,https://cdn.rallit.com/image/2025-05-21/dS2SrXoqUbZ5n2s3wre6_.jpg,2025-06-08,3517,False,False,IRRELEVANT,SENIOR,"Java, JPA, Spring Boot, ChatGPT",300,,2025-05-21,HIRING,모집 중,[컬리 10주년 테크 대규모채용] 커머스 백엔드 개발,https://www.rallit.com/positions/3517
GANGNAM,1097,(주)필라넷,https://cdn.rallit.com/image/2024-09-30/U1ket1NwZGUC1NsQEqbhI.png,9999-12-31,3233,False,False,IRRELEVANT,"JUNIOR, MIDDLE","ASP.NET Core, ASP, MSSQL, .NET, jQuery, JavaScript, SharePoint",0,,1970-01-01,HIRING,모집 중,.NET 웹개발자 채용,https://www.rallit.com/positions/3233
GANGNAM,1325,고위드,https://cdn.rallit.com/image/2025-04-22/_UGzMviNRj1oF0xrhpInj.png,9999-12-31,3400,False,False,IRRELEVANT,JUNIOR,"Spring Boot, JavaScript, TypeScript, React, MySQL",0,,1970-01-01,HIRING,모집 중,Full-Stack Enginner (풀스택 개발자),https://www.rallit.com/positions/3400
SEOUL,83,씨드앤,https://cdn.rallit.com/image/2023-06-26/Zqs-F96vrk9lp9-i-r-al.jpg,2025-06-09,3485,False,False,IRRELEVANT,SENIOR,"JavaScript, Java, AWS, Azure, Next.js, NestJS, express.js",0,,2025-05-19,HIRING,모집 중,시니어 백엔드 개발자 (8년 이상),https://www.rallit.com/positions/3485
SEOUL,655,마카롱팩토리,https://cdn.rallit.com/image/2025-05-20/aGuul3ASND0ei55hvdSMU.png,9999-12-31,3505,False,False,JUNIOR,MIDDLE,"Kotlin, Java, Spring",0,,1970-01-01,HIRING,모집 중,차량관리 1위 앱 '마이클' 서버 개발 (5년 이상),https://www.rallit.com/positions/3505
GANGNAM,592,오비맥주,https://cdn.rallit.com/image/2023-08-11/c4IkFMG4DSPBa6W7RJl4x.png,9999-12-31,3315,False,False,IRRELEVANT,"MIDDLE, SENIOR",Access,0,,1970-01-01,HIRING,모집 중,[ABInBev Korea 오비맥주] BEES Product Engineer,https://www.rallit.com/positions/3315
MAPO,800,주식회사 사각,https://cdn.rallit.com/image/2025-04-30/E58mNu18tzpt3j3Fa6Ea1.png,9999-12-31,3543,False,False,IRRELEVANT,JUNIOR,"Python, Tensorflow, PyTorch, LLM, SQL",0,,1970-01-01,HIRING,모집 중,AI Researcher/Data Scientist(경력 2년 이상),https://www.rallit.com/positions/3543
GANGNAM,19,오드컨셉주식회사,https://cdn.rallit.com/image/2022-01-28/pL_oXrE8f9ev5qJD4R9uz.jpg,9999-12-31,205,False,False,JUNIOR,JUNIOR,"JavaScript, HTML/CSS, React, Vue.js, Git",0,,1970-01-01,HIRING,모집 중,소프트웨어 엔지니어,https://www.rallit.com/positions/205
GANGNAM,367,와탭랩스,https://cdn.rallit.com/image/2022-12-16/_GU5jCQWE3j6_PZbU_6ZD.JPG,9999-12-31,1301,False,False,MIDDLE,MIDDLE,"GO, SQL, DBMS/RDBMS, MSA",0,,1970-01-01,HIRING,모집 중,백엔드 에이전트 개발자(Golang),https://www.rallit.com/positions/1301
GANGNAM,1164,(주)비와이엔블랙야크,https://image.rivers.co.kr/files/2025-01-10/1736492917865/company-represent-image-1736492917608.png,9999-12-31,3367,False,True,MIDDLE,MIDDLE,"Java, AWS, React, SQL, Spring Boot, Node.js, MySQL, Docker, Kotlin, Vue.js",0,https://cdn.rallit.com/image/icon/rivers.svg,1970-01-01,HIRING,모집 중,[BYN블랙야크] IT 부문 경력직 상시 인재 pool 등록,https://www.rallit.com/positions/3367
